Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Full,130565,20OZ WM PL 8/3 GAT ORG,3320,twenty ounce eight three gatorade orange,0,ENABLED,ENGLISH,3320,ALLOWCHECKDIGITS
Layer,130565,20OZ WM PL 8/3 GAT ORG,50,twenty ounce eight three gatorade orange,0,ENABLED,ENGLISH,50,ALLOWCHECKDIGITS
Bulk,324719,20OZ WM PL 8/3 GAT ORG DRPONLY,1,20OZ WM PL 8/3 GAT ORGange display pallet only,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Full,324719,20OZ WM PL 8/3 GAT ORG DRPONLY,1,20OZ WM PL 8/3 GAT ORGange display pallet only,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,135865,20OZ WM PL 8/3 GAT RPTD RSH,3410,twenty ounce eight three gatorade riptide rush,0,ENABLED,ENGLISH,3410,ALLOWCHECKDIGITS
Full,135865,20OZ WM PL 8/3 GAT RPTD RSH,3410,twenty ounce eight three gatorade riptide rush,0,ENABLED,ENGLISH,3410,ALLOWCHECKDIGITS
Bulk,143345,20OZ WM PL 8/3 GAT STRW LMND,1,twenty ounce eight pack gatorade strawberry lemonade,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,321987,20OZ WM PL 8/3 GAT ZR APL BRST,3250,twenty ounce eight pack gatorade zero apple burst,0,ENABLED,ENGLISH,3250,ALLOWCHECKDIGITS
Bulk,171615,20OZ WM PL 8/3 GAT ZR FT PNCH,3260,twenty ounce eight three gatorade zero fruit punch,0,ENABLED,ENGLISH,3260,ALLOWCHECKDIGITS
Bulk,171614,20OZ WM PL 8/3 GAT ZR GRP,3190,twenty ounce eight pack gatorade zero grape,0,ENABLED,ENGLISH,3190,ALLOWCHECKDIGITS
Full,171614,20OZ WM PL 8/3 GAT ZR GRP,3190,twenty ounce eight pack gatorade zero grape,1,ENABLED,ENGLISH,3190,ALLOWCHECKDIGITS
