Zone,SKU,Description,Cases,Picked,Orders,Remaining,UPC,Cases / Order
BULK,321291,12OZCN1/12SLCEL OASIS VIBE,15,0,10,15,'889392000900,1
BULK,321822,12OZCN1/12SLCEL COSMIC VIBE,25,1,17,24,'889392001204,1
BULK,321881,16.9OZ PK12/2 SCP PEPSI ZR SGR,6,0,5,6,'012000027543,1
BULK,321975,20OZ PL 1/12 GAT GLYT GLC FRZ,32,1,25,31,'052000054996,1
BULK,321986,12OZ PL 12/2 GAT ZR WMLN SPLSH,15,0,9,15,'052000055047,1
BULK,321991,12OZ PL 12/2 GAT ZR APL BRST,5,0,4,5,'052000055030,1
BULK,322075,20OZ PL 1/12 GA ZR GLYT FP,8,0,7,8,'052000055009,1
BULK,322085,7.5OZ CN 6/4 PPBD PEPSI,19,0,12,19,'012000230165,1
BULK,322086,7.5OZ CN 6/4 PPBD MDEW 6/4,5,0,4,5,'012000230219,1
BULK,322087,7.5OZ CN 6/4 PPBD PEPSI ZR SGR PPBD,2,1,2,1,'012000230189,1
BULK,322090,7.5OZ CN 6/4 PPBD PEPSI WCHE PPBD,2,0,1,2,'012000230202,2
BULK,322290,7.5OZ CN 6/4 PPBD SCHWP G ALE,6,0,4,6,'078000002133,1
BULK,322292,7.5OZ CN 6/4 PPBD SCHWP CLB SDA,4,0,2,4,'078000032420,2
BULK,322293,7.5OZ CN 6/4 PPBD SCHW TON,5,0,2,5,'078000032413,2
BULK,322294,7.5OZ CN 6/4 PPBD SCHW QUITON ZS,3,0,1,3,'078000032635,3
BULK,322415,12OZCN1/12SLCEL FF BLRAZ LEM,25,2,18,23,'889392001396,1
BULK,322416,12OZCN1/12SLCEL RASPBRY PCH,26,1,15,25,'889392001303,1
BULK,322417,700ML PL 1/12 GAT WTR,4,0,2,4,'052000054903,2
BULK,322418,12OZCN1/12SLCEL ASTRO VIBE,12,0,11,12,'889392001341,1
BULK,322419,12OZCN1/12SLCEL GALAXY VIBE,18,1,14,17,'889392001327,1
BULK,322420,1L PL 1/12 GAT WTR,18,0,11,18,'052000054897,1
BULK,322421,1L PL 6/2 GAT WTR,1,0,1,1,'052000055443,1
BULK,322498,11OZ CN 1/12 SLK STRBK VAN SWT CRM,5,0,5,5,'098100100300,1
BULK,322501,11OZ CN 1/12 SLK STRBCK SLTCRMLCRM,2,0,2,2,'098100100348,1
BULK,322503,11OZ CN 1/12 SLK STRBCK CHOC CRM,4,0,4,4,'098100100324,1
BULK,322506,16.9OZ PL 1/12BUB BUBBRST PM,2,2,1,0,'012000230615,2
BULK,322507,16.9OZ PL 1/12BUB BUBLY BRST CHELMD,8,2,3,6,'012000230592,2
BULK,322508,16.9OZ PL 1/12BUB BUBLY BRST WTMLME,9,0,3,9,'012000230639,3
BULK,322513,16.9OZ PL 1/12BUB BUBLY BRST PNPTNG,7,0,6,7,'012000230691,1
BULK,322515,16.9OZ PL 1/12BUB BUBLY BRST TRPLBR,8,2,3,6,'012000230653,2
BULK,322530,16OZCN1/12SLCEL ESS CHRYLIME,9,0,9,9,'852480007822,1
BULK,322534,16OZCN1/12SLCEL ESS ORNGSCLE,9,0,9,9,'852480007884,1
BULK,322535,16OZCN1/12SLCEL ESS BL CRUSH,12,0,11,12,'852480007112,1
BULK,322536,16OZCN1/12SLCEL ESS DRGONBRY,11,0,10,11,'852480007860,1
BULK,322575,12OZCN12/2SLCEL CSMC/GLX/AST,18,0,11,18,'889392001426,1
BULK,322683,12OZ CN 8/3 FM BUBLY STWSNST SPK,9,0,8,9,'012000230394,1
BULK,322748,11OZ CN 1/12 SLK STRBK TSE MCH,5,0,5,5,'098100100409,1
BULK,322749,11OZ CN 1/12 SLK STRBK TSE CRML,5,0,5,5,'098100100447,1
BULK,322802,11OZ CN 1/12 SLK STRBK TSE VAN,6,0,6,6,'098100100423,1
BULK,323002,18.5OZ PL 1/12 LPT PLF BLKBRY,7,0,6,7,'098000100431,1
BULK,323004,16.9OZ PL 6/2 LPT PLF BLKBRY,5,0,3,5,'098000100462,1
BULK,323012,16.9OZ PL 6/2 LPT PLF ZS SWT,6,0,5,6,'098000100387,1
BULK,323017,18.5OZ PL 1/12 LPT PLF ZS SWT,3,0,3,3,'098000100356,1
BULK,323176,28OZ PL 1/15 GAT LGHTNG BLST,13,0,11,13,'052000057980,1
BULK,323177,28OZ PL 1/15 GAT MDNT ICE,11,0,10,11,'052000058024,1
BULK,323208,16OZ CN 4/6 LPT GT CIT,2,0,2,2,'098000100523,1
BULK,323443,16OZ CN 4/6 LPT IT PCH,2,0,2,2,'098000100615,1
BULK,323604,12OZCN1/12SLCEL WTMN LMD,31,0,22,31,'889392001563,1
BULK,323606,12OZCN1/12SLCEL KIWI STRWBRY,31,0,25,31,'889392001549,1
BULK,324095,12OZCN1/12SLCEL CHR COLA,17,0,16,17,'889392001709,1
BULK,324186,2L PL 1/8S MDEW BJA BLST,7,0,6,7,'012000240140,1
BULK,324729,20OZ PL 1/12 GAT WTR,1,0,1,1,'052000060959,1
BULK,325290,12OZ CN 12/2 FM PEP ZS WCHE CRM,15,0,10,15,'012000240584,1
BULK,325291,20OZ PL 1/24 PEP ZS WCHE CRM,3,0,3,3,'012000240560,1
BULK,325334,28OZ PL 1/15 GAT AQUA BLAST,5,0,4,5,'052000063172,1
BULK,325351,12OZCN1/12SLCEL STRWBRY PSNFRT,20,0,16,20,'889392001761,1
BULK,325352,12OZCN1/12SLCEL PLAYA VIBE,19,0,16,19,'889392001747,1
BULK,325360,12OZCN1/12SLCEL RETRO VIBE,15,0,13,15,'889392001723,1
BULK,325520,20OZ PL 1/24 PEP WCHE CRM,9,0,9,9,'012000240805,1
BULK,325521,12OZ CN 12/2 FM PEP WCHE CRM,24,0,11,24,'012000240829,2
BULK,325611,12OZCN12/2SLCEL VP CLASSIC POP,5,0,2,5,'889392002027,2
BULK,325612,12OZCN12/2SLCEL VP BEACH VIBES,11,0,7,11,'889392002041,1
BULK,325811,12OZ CN 8/3 FM CRSH ORG,2,2,1,0,'078000016628,2
CHILLED,129372,15.2OZ PL 1/8 NJ STRW  BAN,12,0,7,12,'082592194152,1
CHILLED,129379,15.2OZ PL 1/8 NJ BLU MCHN,4,0,4,4,'082592727152,1
CHILLED,129381,15.2OZ PL 1/8 NJ MGTY MGO,10,0,7,10,'082592660152,1
CHILLED,129395,15.2OZ PL 1/8 NJ GRN MCHN,16,0,9,16,'082592720153,1
CHILLED,167568,15.2OZ NR 1/6 KVT MBK PNAPL PCH,1,0,1,1,'853311003600,1
CHILLED,167578,15.2OZ NR 1/6 KVT SPD STW ACAI,1,0,1,1,'853311003051,1
CHILLED,169015,15.2OZ PL 1/8 NJ PN CLDA,4,0,3,4,'082592011084,1
CHILLED,325663,11OZ PL 1/12 TBG TROPPPOROJ,15,0,8,15,'048500206034,1
CHILLED,325664,11OZ PL 1/12 TBG TROP PP HS OJ,21,0,9,21,'048500206027,2
CHILLED,325665,11OZ PL 1/12 TBG TROP PP OJ NP WC,9,0,6,9,'048500206058,1
CHILLED,325666,11OZ PL 1/12 TBG TROP PP CRAN CKTL,9,0,5,9,'048500205990,1
CHILLED,325667,11OZ PL 1/12 TBG TROP PP APL JC,15,0,7,15,'048500205983,2
CHILLED,325672,11OZ PL 1/12 TBG TROP RAZ LMND,7,0,4,7,'048500206164,1
CHILLED,325673,11OZ PL 1/12 TBG TROP PNAP MGO,14,0,7,14,'048500206140,2
CHILLED,325678,11OZ PL 1/12 TBG TROP ZS FRT PNCH,3,0,2,3,'048500206195,1
CHILLED,325680,11OZ PL 1/12 TBG TROP CLSS LMD,6,0,3,6,'048500206553,2
CHILLED,325681,11OZ PL 1/12 TBG TROP STW LMND,8,0,6,8,'048500206560,1
FULL,83776,12OZ CN 12/2 FM MDEW,800,0,2,800,'012000809965,400
FULL,83778,12OZ CN 12/2 FM MDEW CD RD,240,0,2,240,'012000809989,120
FULL,106760,12OZ CN 12/2 FM MDEW VLTG RAZ,360,0,2,360,'012000028656,180
LAYER,16788,12OZ CN 24/1CB PEPSI,308,264,13,44,'012000000171,23
LAYER,16791,12OZ CN 24/1CB MDEW,64,64,3,0,'012000000881,21
LAYER,80291,16.9OZ PLPK24/1 AQUA WTR,126,126,5,0,'012000504044,25
LAYER,83774,12OZ CN 12/2 FM PEPSI,200,150,17,50,'012000809941,11
LAYER,83776,12OZ CN 12/2 FM MDEW,50,30,4,20,'012000809965,12
